                              signal_alias                              |                                                                                signal_name                          
 MAGNETICS/FLUX_LOOP/46/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=46]/timeTrace/@signalName,/string_1d, unique=92)
 MAGNETICS/FLUX_LOOP/46/IDENTIFIER                                      | EFITMAGXML2::put(value=46, type=string_1d, unique=93)
 MAGNETICS/FLUX_LOOP/1/POSITION/SHAPE_OF                                | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=1]/geometry/@rValues, /Count, unique=94)
 MAGNETICS/FLUX_LOOP/1/POSITION/1/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=1]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=95)
 MAGNETICS/FLUX_LOOP/1/POSITION/1/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=1]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=96)
 MAGNETICS/FLUX_LOOP/1/POSITION/2/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=1]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=97)
 MAGNETICS/FLUX_LOOP/1/POSITION/2/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=1]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=98)
 MAGNETICS/FLUX_LOOP/1/POSITION/1/PHI                                   | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=1]/geometry/@toroidalAngleBegin, type=Double, unique=99)
 MAGNETICS/FLUX_LOOP/1/POSITION/2/PHI                                   | EFITMAGXML::put(value=6.2831855, type=Double,, unique=100)
 MAGNETICS/FLUX_LOOP/2/POSITION/SHAPE_OF                                | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=2]/geometry/@rValues, /Count, unique=101)
 MAGNETICS/FLUX_LOOP/2/POSITION/1/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=2]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=102)
 MAGNETICS/FLUX_LOOP/2/POSITION/1/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=2]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=103)
 MAGNETICS/FLUX_LOOP/2/POSITION/2/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=2]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=104)
 MAGNETICS/FLUX_LOOP/2/POSITION/2/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=2]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=105)
 MAGNETICS/FLUX_LOOP/2/POSITION/1/PHI                                   | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=2]/geometry/@toroidalAngleBegin, type=Double, unique=106)
 MAGNETICS/FLUX_LOOP/2/POSITION/2/PHI                                   | EFITMAGXML::put(value=6.2831855, type=Double,, unique=107)
 MAGNETICS/FLUX_LOOP/3/POSITION/SHAPE_OF                                | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=3]/geometry/@rValues, /Count, unique=108)
 MAGNETICS/FLUX_LOOP/3/POSITION/1/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=3]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=109)
 MAGNETICS/FLUX_LOOP/3/POSITION/1/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=3]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=110)
 MAGNETICS/FLUX_LOOP/3/POSITION/2/R                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=3]/geometry/@rValues, type=Double, /UnitStartIndex, index=       1, unique=111)
 MAGNETICS/FLUX_LOOP/3/POSITION/2/Z                                     | EFITMAGXML::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=3]/geometry/@zValues, type=Double, /UnitStartIndex, index=       1, unique=112)
